catalogue: 625000 sessions, 125000 profiles, 187500 counters, 18750 feeds, 31250 tag sets, 125 boards
connections 50, pipeline 16, measured 60.008s after 10s of warm-up
throughput: 77467 operations/s, 79017 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  1858966  7423  19455  1048575  1446364
HGET  15  696089  7423  19455  1048575  1446364
HGETALL  5  232461  7423  19455  1048575  1446023
LRANGE  10  465172  7423  19455  1048575  1446364
SISMEMBER  5  232863  7423  19455  1032191  1446023
ZREVRANGE  5  231682  7423  19455  1048575  1446364
SET  8  372490  7423  19455  1048575  1446364
HSET  4  186204  7423  19455  1048575  1446364
INCR  4  186770  7423  19455  1048575  1446364
LPUSH  2  92982  7423  19455  1048575  1445825
ZINCRBY  2  93009  7423  19455  1048575  1446023
ALL  100  4648688  7423  19455  1048575  1446364
