catalogue: 625000 sessions, 125000 profiles, 187500 counters, 18750 feeds, 31250 tag sets, 125 boards
connections 50, pipeline 16, measured 60.011s after 10s of warm-up
throughput: 79637 operations/s, 81229 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  1911121  7551  20991  802815  931035
HGET  15  715607  7551  20991  802815  931035
HGETALL  5  239133  7551  20991  802815  931033
LRANGE  10  478171  7551  20991  802815  931035
SISMEMBER  5  239223  7551  20991  802815  931035
ZREVRANGE  5  238357  7551  20991  802815  929616
SET  8  383155  7551  20991  802815  929754
HSET  4  191362  7551  20991  802815  931035
INCR  4  191865  7551  20991  802815  931033
LPUSH  2  95573  7551  20991  802815  929553
ZINCRBY  2  95553  7551  21503  819199  929553
ALL  100  4779120  7551  20991  802815  931035
