catalogue: 625000 sessions, 125000 profiles, 187500 counters, 18750 feeds, 31250 tag sets, 125 boards
connections 50, pipeline 1, measured 60.004s after 10s of warm-up
throughput: 14640 operations/s, 14934 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  352278  2623  7039  102399  111127
HGET  15  131011  2623  7039  102399  111048
HGETALL  5  43730  2623  6911  102399  110753
LRANGE  10  87458  2623  7295  102399  110829
SISMEMBER  5  44204  2623  6655  102399  110308
ZREVRANGE  5  44040  2623  7167  100351  109668
SET  8  70211  2623  7039  100351  109190
HSET  4  35338  2623  6783  102399  110724
INCR  4  35019  2623  7679  102399  109849
LPUSH  2  17649  2623  7167  102399  108042
ZINCRBY  2  17535  2623  7807  104447  110976
ALL  100  878473  2623  7039  102399  111127
