catalogue: 1250000 sessions, 250000 profiles, 375000 counters, 37500 feeds, 62500 tag sets, 250 boards
connections 50, pipeline 16, measured 600.013s after 10s of warm-up
throughput: 85896 operations/s, 87614 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  20613383  8063  22015  129023  250564
HGET  15  7731298  8063  22015  129023  250564
HGETALL  5  2576516  8191  22015  129023  215545
LRANGE  10  5150053  8191  22015  129023  250564
SISMEMBER  5  2577219  8063  22015  129023  250564
ZREVRANGE  5  2578002  8191  22015  131071  215545
SET  8  4125534  8063  22015  129023  215545
HSET  4  2062493  8063  22015  129023  250564
INCR  4  2061581  8063  22015  131071  215543
LPUSH  2  1030610  8063  22015  129023  215545
ZINCRBY  2  1032399  8191  22015  131071  250564
ALL  100  51539088  8063  22015  129023  250564
