catalogue: 1250000 sessions, 250000 profiles, 375000 counters, 37500 feeds, 62500 tag sets, 250 boards
connections 50, pipeline 1, measured 3600.005s after 0s of warm-up
throughput: 13139 operations/s, 13402 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  18918042  2879  7551  184319  387613
HGET  15  7095273  2879  7551  184319  451905
HGETALL  5  2364394  2879  7551  188415  385006
LRANGE  10  4726933  2879  7551  184319  387318
SISMEMBER  5  2365577  2879  7551  184319  388262
ZREVRANGE  5  2366312  2879  7551  184319  388661
SET  8  3787216  2879  7551  184319  449706
HSET  4  1893705  2879  7551  184319  354879
INCR  4  1892200  2879  7551  184319  449739
LPUSH  2  945908  2879  7551  188415  345289
ZINCRBY  2  947879  2879  7551  188415  383553
ALL  100  47303439  2879  7551  184319  451905
